Anime,Recommendation,Reasoning,Recommendation Power
Inferno Cop,['Uchuu Patrol Luluco'],['Well both are made by Trigger.\r\nThe same eccentric over the top humor to let you roll over the floor laughing. Uchuu patrol luluco takes an animation approach more dynamic while in Inferno Cop that is the comedy factor.\r\nBoth little gems you will love if you love Trigger'],[1]
Inou-Battle wa Nichijou-kei no Naka de,['Charlotte'],"[""Kids with powers, but it isn't centered around the powers, it is centered around it user.\r\nWhile Charlotte is more edgy and looks at the powers from a cynical perspective to progress it characters,\r\nInou-Battle focuses on comedy and chuuni to develop it characters.\r\nBoth shows are more mature than they seem and the animation quality are both good.\r\nThere are some satisfying plot twists and there are good dialogues.""]",[1]
Subete ga F ni Naru,['Kubikiri Cycle: Aoiro Savant to Zaregototsukai'],"['Same type of plot, same type of murder mystery. Both set on some isolated island. Smart duo solves mystery. Both have a twist in the end']",[1]
Tottoko Hamtarou: Hiragana Tanken,['Sore Ike! Anpanman no Hiragana Asobi: Hajimete no AIUEO'],['Spin-off OVAs for a popular anime for children that uses characters from the franchise to teach kids about the Japanese alphabet.'],[1]
Kuroko no Basket,"['Haikyuu!!', 'Ping Pong the Animation', 'Ahiru no Sora']","[""They're both sports related and I just love the character development in both animes!"", 'No one loses except to themselves. Go for win. The reason is exist there. Heroes appear.\r\nBoth are amazingly great sports anime. Their games are very cool and stylish. Enthusiasm transcends soul.\r\nMain characters relationship also similar. Kuroko and Kagami, Hoshino and Tsukimoto are quite good pairs.\r\nThey trust each other wholeheartedly, and never give up. If you loved KnB theme, you definitely like Ping Pong nature.\r\nAnyways, I recommend Ping Pong for KnB fans strongly. This show is underrated contrary to rating. Needs more attention.', ""If you want a exciting basketball anime with good characters, you'll enjoy it.""]","[3, 1, 1]"
Shinrei Tantei Yakumo,['Devils Line'],['-A female character whose life changes in some way upon meeting the male character\r\n-naive student girl that gets in to trouble\r\n-Supernatural male character\r\n-the main characters love relationship are similar'],[1]
Amagami SS,"['Yosuga no Sora: In Solitude, Where We Are Least Alone.', 'Boku wa Tomodachi ga Sukunai', '3D Kanojo: Real Girl', 'Seiren', 'Photokano']","[""Both seem to be made from simulation game dating, although Amagami SS is the original work, another similarity is that the characters are captured by many women and each journey is difficult for their love.  has an end that can't be guessed, really"", 'Both have a harem route (maybe), a male character who is contested by many women, besides this anime also has a good romance comedy.', 'both have a romantic story of youth, playing male characters are made to fall in love with heroine beauty, other similarities are about their difficult relationship to guess.', 'Both of them carry the theme of game dating (vn), there are some beautiful girls, besides the theme of youthful love is also their attraction, even though they have a different conflict but at its core this is a romantic story.', 'Both are prominent multiple route style VN romance adaptations, consisting of multiple arcs focusing on each specific main heroine. Each arc focuses solely on the specific heroine, with little to no branching into other stories (so it ends up being relatively wholesome in that nature)']","[1, 1, 1, 1, 1]"
Clannad,"['Amagami SS', 'Angel Beats!', 'Shigatsu wa Kimi no Uso', 'Usagi Drop', 'Toradora!', 'Golden Time', 'Gakuen Babysitters']","['Both of them seem to be made from simulation game dating, although Amagami SS is an original work, but this is a game dating concept and Clannad is the king of game dating.  Another similarity is that they have incredible ending, even married (sorry if spoilers)', 'by the same directors, both really well made', ""Much like Clannad, this is bound to be the kind of series that I would recommend to anyone who remotely likes anime. If you haven't attempted this yet, do it for the guardian angel named Kaori!"", ""I'd now like to talk about the child dynamic in both shows, and how in both children are left without one of the parens or both, and are then responsible for the child.\r\n\r\nBoth Okazaki and Daikichi struggle to take care of these kids, they try their best, but end up needing the help of others. Not that needed help from other people is a bad thing, but relying on them too often to do things is.\r\n\r\nNot to mention that both shows have HUGE emphasis on family and taking care of one another.\r\n\r\nBoth Okazaki and Daikichi eventually grow to love and cherish these kids.\r\n\r\nI think with that said, and with how both these shows together make up what Clannad is about. I think you'll love both of these shows if you haven't seen them already. If you have, then hey, go rewatch them!"", ""Both shows deal with romance(obviously), but approach them with care, passion, and with considerable detail.\r\n\r\nBoth deal with family issues, between Taiga and her dad never being around, and Okazaki and his once abusive father turned drunkard, though these issues are NOT the same, both leave these two different characters bitter and resentful because of that.\r\n\r\nBoth shows have lives changed for the better, they explore the lives of people they've introduced to the audience, and get you invested and also get you to feel like you're part of the group.\r\n\r\nClannad is by far my favorite anime of all time, and nothing has really come close to being similar enough with the relationships and how far the story takes it, or the show ends after they get together. So I thought I'd need two recommendations to cover this anime.\r\n\r\nLastly, both shows will leave your heart feeling melancholic after you finish watching them. Or at least it did mine."", 'Share many similarities both in the development of the plot and in that of the characters', 'It is a happy-go-lucky slice-of-life with some nice jokes here and there.\r\n\r\nClannad is by far more intelligent in his themes and is a lot more complex than this show ever wanted to be. It is not a masterpiece but is more interesting than the 12 episodes of this anime.']","[1, 1, 1, 1, 1, 1, 1]"
Akaneiro ni Somaru Saka,['Amagami SS'],"['Both have romantic stories, and if you are a younger sibling (Siscon) maybe this anime can be a recommendation.  Even though the Amagami SS had no siblings relationship, there were some that were out of bounds.']",[1]
Kaidan Restaurant,['Jibaku Shounen Hanako-kun'],['-both are about students\r\n-both deals with ghost stories'],[1]
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,['Mob Psycho 100'],"[""With the charm of the world of espers and the light heart moments of mob psycho, venture into the world of hyobu kyousuke. With a more serious tone to it and complex characters, you'll find an action-packed series with just enough drama and interests that will leave begging for more""]",[1]
Citrus,['Yagate Kimi ni Naru'],['They are both GL and one of the MC holds their feelings back'],[1]
Gakusen Toshi Asterisk,"['Kenja no Mago', 'Reikenzan: Hoshikuzu-tachi no Utage']","['Both have OP transfer student.', 'Reikenzan shares a lot of the same vibes as The Asterisk War. The main character is OP and things tend to work in his favor. A huge plot point is him training to be stronger. It also does well balancing lightheartedness with action, adventure, and comedy.']","[1, 1]"
Free!,"['Dakaretai Otoko 1-i ni Odosarete Imasu.', 'Haikyuu!!']","[""if you enjoyed free, dakaichi is like the perfect 'what if' fan fiction. the protagonists bare striking similarities with Haruka and Makato, except in Dakaichi their personalities couldn't be more different. Dakaichi is a very enjoyable series by it self, about two episodes in I did realize how close their appearances are to Haruka and Makato."", 'First its about teamwork, the progress of the characters.\r\nIts about rivals that are friends and friends that are rivals one of the strongest point in these kinds of anime.\r\nYou can see the progress of each individual and the teams. \r\nEven though I first watched Free than watched Haikyuu, and Haikyuu is really great Free has its own path but it will keep you wanting more and in touch with each episode and each story development just like Haikyuu. \r\nAnd yes both are sports anime even though I wasnt a fan of sports anime these two totally got me rethink that they are both fantastic anime.\r\nThey will keep you entertained and they both have many seasons and episodes so you will definitely be enjoying them even though I want more and more.']","[1, 1]"
Kotonoha no Niwa,"['Kimi no Na wa.', 'Irozuku Sekai no Ashita kara', 'Koe no Katachi']","['Both great movies with amazing animation and landscapes! With great characters, I really enjoyed both, especially Your name. ""Your name."" the movie is a bit more adventure and fantasy-based rather than a slice of life whereas the garden of words was more like a slice of life romance, both very enjoyable. Both romances were great stories in my opinion.', 'Beautifully animated, amazing backgrounds, and centered around arts/fine arts', 'Both of these movies are absolute emotional rollercoasters. They are both aesthetically beautiful and have great stories. Kotonoha no Niwa is a very short watch, but still is able to deliver a very simple yet emotionally filled story. Koe no Katachi speaks for itself, and on my personal list is the only 10/10 I have ever given out. If you have dealt with any mental illness or bullying I advise you watch while you are in a safe environment. It was a life changing experience for me and one of the few Moives/Anime that have ever made me cry like a baby. I recommend both highly!!']","[1, 1, 1]"
B: The Beginning,"['Sirius', 'Id:Invaded']","['These series are based in the genres of action,thriller and with a touch of romance, with both having a protagonist with a unique personality that escapes from being generic. And the cherry on top of the cake is without question the great animations both of the animes have. Definitely worth watching.', 'Both shows feature a police/detective cast with beautiful and at times trippy settings, as well as sci-fi surrealistic plots. Both shows keep pace and keep you fully immersed in the mystery.']","[1, 1]"
Byousoku 5 Centimeter,"['Kotonoha no Niwa', 'Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?']","['Both animes have beautiful animation, very realistic and breathtaking! The love stories in both are very charming and complex! If you liked either or then I recommend the other one.', ""Although the bad rating that most people gives Uchiage Hanabi, I feel this movie has a lot of emotion on visuals (I mean, it's Shaft), and really in the story, although a lot of people who watch it thinks it's disappointing. I mean, it's not your conventional movie. You can feel there's a lot of plot holes but you can feel too that these are made intentionally, making the story unique with these actions of the main characters. Not only that, but it's also amazing how they make the visuals tell the story. How that sets apart the reality from the imagination of Norimichi. For my opinion, this is not a powerful movie such as Byousoku 5 Centimeter, but it's fantastically made and I think more people should give a try with an open mind, and not thinking that this movie is about the love of two young students (because it isn't, and some reviewers say that the movie fails on that part when it's not what the story is all about), but about the differentiation of reality and what it's not.""]","[2, 1]"
Mirai Nikki,"['Gleipnir', 'Another', 'Happy Sugar Life', 'Haiyore! Nyaruko-san', ""Darwin's Game"", 'Youjo Senki', 'Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation', 'Btooom!', 'Big Order (TV)']","['The male main characters in both shows don\'t have a backbone and instead rely on their partners.\r\n\r\nBoth shows are relatively ""edgy"" and contain a fair amount of violence and action.\r\n\r\nAlso Kurea and Yuno are both pretty similar in that their insanity drives a lot of the show.', 'They both have a horror aspect in each of the anime and killing', 'Mirai Nikki and Happy Sugar Life both have yandere as their main character. They are extremely protective over the other main character, and the wish of the yandere is that they can end up happy and together with the other main character, without any “obstacles” in their way.', 'If Mirai Nikki was a (Romantic?) Comedy, this would be it. Both shows have a weak male lead and a strong female lead.', 'They both involve a male protagonist in a survival game that involves their cellphone. Both protagonists reluctant at first but keep going in order to survive.', 'Gore, Time themed, Anti-hero, Psycho main character.', ""I don't think that characters are similar but in both shows, every character has their own speciality. And the concept is same. They have to kill to win the game. If you like survival death game shows, then you will probably like these too. \r\nHowever, Mirai Nikki has supernatural elements but Danganronpa doesn't."", 'Since both shows are about survival death games, their story is extremely similar. Mirai Nikki has unique future diaries. As for Btooom!, it has unique bombs. While some characters are similar, some are not. In short, they are resemble in many aspects. \r\nI started Btooom! because Mirai Nikki is my favorite show, in the end, i liked this one too.', 'Both share the same essence and style. The main characters have many similarities. \r\nAnd share many similarities both in the development of the plot and in that of the characters']","[2, 1, 5, 1, 6, 1, 1, 1, 1]"
Cowboy Bebop,"['Samurai Champloo', 'Trigun', 'City Hunter', 'Boogiepop wa Warawanai (2019)', 'Boogiepop wa Warawanai', 'Space☆Dandy', 'Seihou Bukyou Outlaw Star', 'Black Lagoon', 'Cannon Busters']","['it has the same kind of writing as samurai champloo in the sense that the characters feel very human like and that they all have different goals while working together', 'Both of these anime are space westerns that dip heavily into the western stylistic; they also came out at around the same time and are high quality and highly regarded shows. Both are mainly episodic but have overarching plots around the MC that gradually become more important as time goes on.\r\n\r\nBoth shows have MCs with a lot of similarities (eg: the mysterious, tragic past that slowly unfolds over the course of the show, or their impressive skills in combat/with a gun). I would argue Vash is the more nuanced of the two, whereas Cowboy Bebop develops the rest of its main cast a lot more than Trigun.\r\n\r\nThe general atmospheres of the show are also pretty similar and the villains and how they relate to the MC are also similar.', '- Both have ultra-chad moments.\r\n- Chad protagonists with great battling skills.\r\n- Both protagonists have fundamentally similar occupation.\r\n- Dynamics between characters are presented nicely.\r\n- Episodic.\r\n- Of course Cowboy Bebop has a more mature tone, yet both have somewhat similar vibes.\r\n\r\nBasically, City Hunter is like a more comical and lighthearted version of Bebop. It feels like City Hunter more or less influences Bebop, intentionally or not.', 'Both are classics with a focus on as mysterious and deep themes', ""Both series being a unique experience, there isn't much that links these two shows. While BP is an eerie sci-fi sepia journey through adolescence, CB is a more old-fashioned story about coming to terms with one's self. What ties these two otherwise quite different series is their distinct atmosphere, filled with dreamy music and moody color."", ""Both in a futuristic space setting where the main cast is a group of bounty hunters. It is pretty random like a lot of Cowboy Bebop's episodes and the crew is often dysfunctional where they always mess up and can never seem to get a bounty."", 'Episodic, flamboyant and great fun. Outlaw Star offers us a diverse environment of charismatic characters who face various enemies during their journey. With a badass protagonist, able to remind us of the beloved Spike Spiegel. Very good adventures, bombastic and with great chances that you will remember it as a good series.', ""Both of these episodic series are full of memorable characters, great action, and some good music. Even though Black Lagoon is lesser than Bebop in all these areas it doesn't mean the series is bad so to say."", ""It's very hard not to get a Cowboy Bebop from this anime. Replace the ship with a car and mix up the characters, and you've got Cannon Busters""]","[4, 1, 1, 2, 1, 2, 1, 1, 1]"
Kimi ga Nozomu Eien,"['White Album 2', 'Domestic na Kanojo', 'Kimi no Iru Machi']","['Two similar love triangle melodramas. Both use a similar framing technique in which the story is told in flashback episodes and scenes in parallel with current events. White Album executes this better. Both have a similar resolution to the triangle problem in the finale, and are bittersweet. Both are based on eroge visual novels, but successfully remove this element and fan service to focus on the drama. Both feel realistic with natural, adult behavior and dialog. Unlike the 3rd ""big"" dramatic love triangle, School Days, characters here are like able and have proper motivations.', 'A similar love triangle, MC has to choose 1 out of 2 choices. Kimi ga Nozomu Eien is furthermore on the mature side.', ""Both shows follow similar patterns, regarding a former love interest coming back after being away for so long, and inadvertently messing up the MC's current relationships. They both also deal with lots of dramatic cases where each character is both right and wrong, and makes it hard to put blame on a single character""]","[1, 1, 1]"
Bouken Shite mo Ii Koro,['Koe de Oshigoto! The Animation'],"[""Two comedies taking place in the porn production industry. In both the framing device is a newcomer to the industry who learns on the job. Both have a similar humor, which plays with the sober and professional approach to ... producing smut for money. Both anime take the time to at least superficially introduce an ensemble cast to showcase the different professions. Animation wise they are over 20 years apart, with Bouken Shite being low budget even at it's time. Yet, they share roughly the same degree of ecchiness and humor.""]",[1]
Hajime no Ippo,"['Kengan Ashura', 'Rainbow: Nisha Rokubou no Shichinin']","['Tournament and Fighting related', 'Both feature a boxer voiced by Rikiya Koyama who suffers when losing weight. Both are animated by madhouse.']","[1, 1]"
Shijou Saikyou no Deshi Kenichi,['Kengan Ashura'],['Mix Martial arts is included in both of this anime. \r\n\r\nOpponents fight each other to the point that they are unable to move. One opponent after another.'],[1]
Yuu☆Yuu☆Hakusho,"['Kengan Ashura', 'Dragon Ball Z', 'Hunter x Hunter (2011)']","['Mix Martial arts and Tournament related fights are included in both of this anime. \r\n\r\nOpponents train and fight each other to the point that they are unable to move. One opponent after another.', 'Both feel very similar and are a classic masterpiece', 'Both shows have four main characters who bond over their various interactions, also the series is from the same GOAT manga artist Togashi sensei']","[1, 1, 1]"
